,Examples,Labels
0, i know i was listenin to bad habit earlier and i started freakin at his part ,empty
1,layin n bed with a headache ughwaitin on your call,sadness
2,funeral ceremonygloomy friday,sadness
3,wants to hang out with friends soon,enthusiasm
4, we want to trade with someone who has houston tickets but no one will,neutral
5,repinging  why didnt you go to prom bc my bf didnt like my friends,worry
6,i should be sleep but im not thinking about an old friend who i want but hes married now damn amp he wants me  scandalous,sadness
7,hm is down,worry
8, charlene my love i miss you,sadness
9, im sorry at least its friday,sadness
10,cant fall asleep,neutral
11,choked on her retainers,worry
12,ugh i have to beat this stupid song to get to the next rude,sadness
13, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol,sadness
14,got the news,surprise
15,the storm is here and the electricity is gone,sadness
16, agreed,love
17,so sleepy again and its not even that late i fail once again,sadness
18, lady gaga tweeted about not being impressed by her video leaking just so you know,worry
19,how are you convinced that i have always wanted you what signals did i give offdamn i think i just lost another friend,sadness
20, oh too bad i hope it gets better ive been having sleep issues lately too,worry
21,wondering why im awake at amwriting a new songplotting my evil secret plots muahahahaoh damn itnot secret anymore,fun
22,no topic maps talks at the balisage markup conference  program online at via  topicmaps,neutral
23,i ate something i dont know what it is why do i keep telling things about food,worry
24,so tired and i think im definitely going to get an ear infection going to bed quotearlyquot for once,sadness
25,on my way home n having  deal w underage girls drinking gin on da bus while talking bout keggersdamn i feel old,worry
26, im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd,sadness
27,damm servers still down i need to hit  before all the koxpers pass me,worry
28,fudge just bsd that whole paper so tired ugh i hate school time to sleep,sadness
29,i hate cancer i hate it i hate it i hate it,worry
30,it is so annoying when she starts typing on her computer in the middle of the night,hate
31, i cant sleep,neutral
32,i missed the bly bus,neutral
33,feels strong contractions but wants to go out ,neutral
34,socal stoked or maybe not tomorrow,neutral
35,screw you  i only have  weeks,neutral
36, yeah s i feel all funny cause i havent slept enough i woke my mum up cause i was singing shes not impressed s you,sadness
37,i need skott right now,worry
38,has work this afternoon,neutral
39, aw you would not unfollow me would you then i would cry,neutral
40,m much better day so far its still quite early last day of uds,happiness
41, lt your gonna be the first twitter  cause your amazing lol come to canada would do anything to see you perform,fun
42,just picked up her blackberry from the middle of the street both she and it are crushed,worry
43,why do i have the feeling i should be packing and hitting for sfo around this time of the year i think im missing something,worry
44, middle school and elem high schools will remain open for those who need credits to graduate cali is broken,empty
45,bed its time hope i go to school tomorrow all though i dont feel very well right now,worry
46, ahh  well i was hoping that i could learn some stuff on the way  why not you and i work on separate things but also,worry
47,im having a problem with my photo here in twitter amfcant see my face,sadness
48, oh no if i blow a tire youre really going to have to send up some batman smoke,neutral
49,wnna take a bath,neutral
50,chocolate milk is so much better through a straw i lack said straw,neutral
51,why am i so tired,worry
52, hey yu lil fucker i textd yu,empty
53, time diff and ive just been wrapped up in day to day stuff so i havent been tweeting talk soonmust sleepup in hrs,neutral
54, no way damn that sucks b are you ok,neutral
55,sucks not being able to take days off of work or have the money to take the trip so sad,worry
56,bedsorta today was good sara has strep thought angelina does to i shared a water with her b they told me i will prob get it to,enthusiasm
57, the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but well cope,neutral
58, but i got dibs on sulu,neutral
59, aww onward and upwards now yay still sad to leave i bet,sadness
60, at once haha poor aby still gets sore,worry
61,diesel yaris mpg so sad its not available in the us thatd be awesome,sadness
62,i want to buy this great album but unfortunately i dont hav enuff funds its quotlong time noisyquot,sadness
63, in all honestypain blech,sadness
64,ok  the passengers  no one is alive  theyre all dead  you just dont know it til the end  then you cry ,sadness
65,at home alone with not much to do,neutral
66, ia so much i havent really been happy with any of cooks choices for singles,worry
67,  i fell asleep on the beach and didnt put on enough sunscreen lol,sadness
68,so i think my son might have the flu cause i def just cleaned up a stanky puke mess poor pumkpin,worry
69,so great to see oin amp cynthia so happy dinner was great cute little place too bad oin got sick afterwards,happiness
70,i cant give  any bday nudges,neutral
71,and all woman who transfer their first impressions sexualmaternal onto a less threatening man  are themselves as weak as him,worry
72,brothers bloom wont be opening this weekend in el paso ill just buy brick and enjoy that until i can watch brothers bloom,neutral
73,says i miss plurking ,neutral
74,bitten to blood by my cat on my way for a rabies bacterin seems  shots for  months never wash my cats at home again they hate water,worry
75,i miss voobys,neutral
76, neither are elp,neutral
77, dude that is my favorite sandwich place ever um did you take pictures,happiness
78,is sad that shin ae got marriedand it wasnt to alex,worry
79, sure you will tweet about this when youre back but news is abuzz about tr knights leaving quotconfirmedquot today muy triste,worry
80, ohh thursday i have exams all day what about wednesday ,sadness
81,there was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow  am,neutral
82,  i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go,sadness
83,god morning people sun is out definitly spring now we had our first spring hail storm my car has dimples now,worry
84, i love those itsakey usb sticks we only have the gb in australia,sadness
85,fresh prince and sleepy sleeps my nightly routine gotta go to dmv early tmrw,worry
86,dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code,hate
87, i am jealous of your mom talking to  i want to see you all our twittering is making me miss you,worry
88,i cant sleepi keep thinking about the puppy i played with today,worry
89, im suposed to be sleep but i got some much to do amp i got that one part of the song stuck in my head quotyour a jerk iknowquot blaahh,worry
90, whats going on sweetheart,neutral
91,how can it be so freaking difficult to get a systemwide spellchecker shit id settle for an office suite one stupid unhelpful windows,neutral
92,last one month due to summer strawberry is not availble in the chennai markets,worry
93, work at am gotta go to bed soon,neutral
94, correct i adore him i just plucked him up and put him under my arm cuz he was cryin all better now hahaha,love
95, hi im on my ipodi cant fall asleep,sadness
96,dont wanna work  tomorrow but i get paid,sadness
97,feels sad coz i wasnt able to play with the guys ,sadness
98,princecharming,neutral
99, cayogial i wanted to come to bz this summer  not so sure anymore a teachers life in the summer sucks,hate
100,first ever dropped call on my mobile on a call to  no less  being charged for data even though i have a data pack ,worry
101, you win  sigh rakeem,hate
102,oh is that time for real,neutral
103,darn these allergies i dont like this time of year because of this i never used to have this problem either,sadness
104,oh no one minute too late oh well,worry
105, damn that sucks,hate
106, i wanted to come to bz this summer  not so sure anymore a teachers life in the summer sucks,sadness
107, this website gave me a virus when i opened it more windows kept popping up,hate
108,ahh big scary bug flying around my room,worry
109,i wish she knew what she puts me throughshe stole my heart never gave it backand occasionally she likes to be like look what i have,sadness
110,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,worry
111, that was stone cold crazy ,neutral
112,im so tired,boredom
113,shift time bbye biochem wah ,neutral
114, im sure some will cum out and play im workin through til midnight,neutral
115, i second that i wish it rained more where i am,neutral
116, early happy day of birth in case i dont make it very tired from therapy today n just taking my medicine misshu love ya,sadness
117,damn it were is eric or anyone else when you need your hair to be played with,neutral
118,im feel deflated ugh no more dog,neutral
119,allergies suck ducks nuts lt,sadness
120,well it almost was a good day guess i just retry tomorrow,neutral
121, waraku is tasteless and expensive portion is so little re waraku,hate
122, sounds good appreciate the suggestion been a week now and were still offline time to ask for a refund,love
123, he died wait what about magic jack i just read it,worry
124, youstinkatrespondingtotexts,hate
125,wonders why her karma points turned into  ,sadness
126,need to pack for cali cali cannot wait thinking a glass of wine is in order to celebrate my weekend vaca still work morrow tho,happiness
127,is miserable i feel like im gona cry sux,sadness
128, well i ran out of beer so i left not sure about the eta waiting waiting waiting bleh gonna be a long nite methinks,neutral
129, my nose stud fell out and i cant find it looks like ill have to head into amsterdam today and get a new one,worry
130,claire  love the show got into the office  am and no radio,neutral
131,pats in philly at  am i love it mmm cheesesteak miss my boyfriend but i love vacation,love
132,sigh im going to bed i just dont feel right anymore,sadness
133,what i focused on tom so much i didnt see my beloved barack oh no i must vote for both poor president only has  votes,neutral
134, epicentre wheelock place  tourists only,neutral
135,now i am depressed after watching so you think you can dance,sadness
136,just cross cause im stuck twiddling my thumbs now ugh,sadness
137,miss th,neutral
138, i know but like i said i have no idea how long it takes for them to investigate this stuff,neutral
139,i cant sleep but im too sore to move,worry
140,  awe i miss my baby,neutral
141, just answered you never learned how to write in french just basic stuff,empty
142,what is it with chocolates i just can never say no,neutral
143,achieving a new appreciation on how a xml build script can really be painful and cumbersome,worry
144, im too awake now ill have a nap this afternoon,neutral
145, i cant do anything,worry
146,still needs another  hours of sleep,neutral
147,im at work,relief
148,rip leonardo you were a great mini fiddler crab,fun
149,morning tweepleway to early again,neutral
150,last day working for the uni today sad times,sadness
151, thanks neemah im gonna be so close to you and izzy yet so far,love
152,my head hurts so bad i could scream,worry
153,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain,worry
154,new work wellness challenge not going well i committed to not check email between  pm and  am failed on first day twice,worry
155,new blog post blog auto insuran i just found that my auto insurance policy had been expired  i am too careless   meanw ,worry
156,where are all ma bestfriends at   mia or wat ,neutral
157,oh meni really cant see my facecmon guys,worry
158,im showing my age renewed my tags last week went down  got my insurance renewal email today went down  i dont wanna be old,worry
159,my sole supporter is not my sole supporter,worry
160,dont you hate it when you finish all your work and theres still  hours left of work time,hate
161, urgh stop it guys,worry
162,is still missing her husband i really want him home,sadness
163,i miss my puppy,sadness
164, days of this month left and i only have mb left on my onpeak downloads,surprise
165, up is out i didnt get the memo it looks amazing,fun
166, ive given up on pizza  kids would never let me have my fav the hot ones,sadness
167,up reading tabloids about other peoples livesthinking what im gonna do with mine when my baby leaves,worry
168, yearling in pet home died very sad for their whole family,sadness
169,fun in the sun hm hell no its cold,neutral
170,i got a giant splinter stuck up underneath my finger nail today at muppetsit hurt but i got to go to first aid for the first time,worry
171, we hate change so of course were fans for life lt oh and if we havent met rob by then something went horribly wrong,sadness
172,is feeling sad for some reason ,worry
173,well fuck this new pain med has an odd warning that actually applies to me i cant take this chan is displeased,sadness
174,just uploaded my new blog a painful story about an s year old man who cried because he wanted to die very sad,sadness
175, i dont think so i want details,neutral
176, hi who is mary poppins,neutral
177, its so addicting but its kind of a curse to do them at night time everytime i do one i feel like making music afterwards,worry
